pose_id,rep,cmd_x,cmd_y,cmd_z,meas_x,meas_y,meas_z,pos_error_mm,ori_error_deg
0,0,0.2,0.0,0.22,0.2008272242615606,-0.00013838858804691832,0.21970026934801118,0.8906682008232552,21.256434586805963
0,1,0.2,0.0,0.22,0.20079329263966278,-0.00010697541590751688,0.21952880508554068,0.9288603765712243,21.112320466817106
0,2,0.2,0.0,0.22,0.1997559344938717,0.0005922481409835182,0.2204001074509459,0.7552561182026496,21.43001620963692
0,3,0.2,0.0,0.22,0.20080228693286167,-0.00029339622544677217,0.2195496701975433,0.9656824523246175,21.05091116224628
0,4,0.2,0.0,0.22,0.19942300702415486,-0.000649053383483259,0.2208151341883881,1.1910646220356171,21.457407275719262
0,5,0.2,0.0,0.22,0.19998406205976288,-0.00041146608690065446,0.2204612369333859,0.6183024076676142,21.35691029087096
0,6,0.2,0.0,0.22,0.1996944534890562,0.0004795034629170746,0.21970009952128552,0.6428238782377108,21.271731661588785
0,7,0.2,0.0,0.22,0.19961876551012267,-0.0006474875116937828,0.22011936124477138,0.7608067565583372,21.335312208453722
0,8,0.2,0.0,0.22,0.1995725966279904,0.0003470306220259252,0.22023258670261447,0.5976625044805467,21.34067409118759
0,9,0.2,0.0,0.22,0.20053192230075947,-0.00021498351061493035,0.2195866726691739,0.7071058805365681,21.014070093702554
1,0,0.25,0.05,0.2,0.25069326666511127,0.04989845105323585,0.1998173286728329,0.7240854033278172,17.253566500960616
1,1,0.25,0.05,0.2,0.25013590650891704,0.05009641458803066,0.19980593457970988,0.25578846593136784,17.312327805677715
1,2,0.25,0.05,0.2,0.25012998450886437,0.050642617960718936,0.20017824281483962,0.6794294054758135,17.509896627913196
1,3,0.25,0.05,0.2,0.24917896875256912,0.04987726462304207,0.20034099945974676,0.8974613716269298,17.497382321883443
1,4,0.25,0.05,0.2,0.2500731356462218,0.05042005188456315,0.19963603115565484,0.5605940849913527,17.411795649623382
1,5,0.25,0.05,0.2,0.2497172502588932,0.05063113292711548,0.19969090485951801,0.7575064314280782,17.49784745502477
1,6,0.25,0.05,0.2,0.25087419468623495,0.0500331273886563,0.20021108963697443,0.8999292239718648,17.854080664452052
1,7,0.25,0.05,0.2,0.2502053938367615,0.05018071304842242,0.19950479185419873,0.565751660817426,17.7944893686314
1,8,0.25,0.05,0.2,0.24928458057820418,0.049341097004943144,0.19947832723114303,1.1036850020474434,17.939794034568497
1,9,0.25,0.05,0.2,0.2509426923099668,0.05058263773836043,0.20108071134126648,1.5479252335220404,20.605028372443797
2,0,0.18,-0.05,0.25,0.18093601064163067,-0.05043743426885727,0.2494281841569249,1.1808632516969415,36.81702456650085
2,1,0.18,-0.05,0.25,0.17974277222739826,-0.04953587428437707,0.24965864875559313,0.6309512492722932,36.791869756971145
2,2,0.18,-0.05,0.25,0.18048090832633779,-0.050083151677267713,0.25073382651595905,0.8812992541118154,37.12249574810798
2,3,0.18,-0.05,0.25,0.18061578093405942,-0.0496857335670743,0.2506392321846932,0.9415770470665562,37.12189450040621
2,4,0.18,-0.05,0.25,0.1795352860491321,-0.0497901535018266,0.2500920987926924,0.5181474660193578,37.130876473114796
2,5,0.18,-0.05,0.25,0.1794037502529891,-0.05018678696182283,0.25004580588849884,0.6264992492722721,37.052740794622814
2,6,0.18,-0.05,0.25,0.18002875056588238,-0.04994250897542575,0.24948563881441288,0.5183620763363602,36.83911387721102
2,7,0.18,-0.05,0.25,0.17963346160706542,-0.04963457026361759,0.25081440617331496,0.9649594296451546,37.1235766306377
2,8,0.18,-0.05,0.25,0.18030674570424993,-0.050221354471812994,0.2506797533502708,0.7779173133899236,37.09516494361785
2,9,0.18,-0.05,0.25,0.1794634379951643,-0.050356760812843494,0.25063407262188747,0.9040050621768182,37.24934997337738
3,0,0.22,0.08,0.18,0.2201352884633597,0.0798430778061502,0.17974789176716835,0.3263220867522706,24.60364995892472
3,1,0.22,0.08,0.18,0.22075726727136674,0.08032584270155402,0.1801896716500992,0.8459329295461911,24.721675669038902
3,2,0.22,0.08,0.18,0.21975486998410748,0.08063663592186493,0.17959080182563744,0.7955106332425225,24.837788741429012
3,3,0.22,0.08,0.18,0.22004810308043038,0.07977355600947963,0.1803166136389473,0.39221803063746813,24.72740785338087
3,4,0.22,0.08,0.18,0.21949250429439426,0.079946061781446,0.18004295985962915,0.5121589325281759,24.73894878905928
3,5,0.22,0.08,0.18,0.22034104996870765,0.07909277407537135,0.17925064337268587,1.2251160411868731,24.3873251097517
3,6,0.22,0.08,0.18,0.22017222541524967,0.08044963354302151,0.17958811186353582,0.6336274564978402,24.674740034526206
3,7,0.22,0.08,0.18,0.22020273564174436,0.0806386615691913,0.1796232146081161,0.7687376483121563,24.68033738064859
3,8,0.22,0.08,0.18,0.21942496661224578,0.0805707279883863,0.18041478968132857,0.9101891635787723,24.834802497100977
3,9,0.22,0.08,0.18,0.21956881819093682,0.08040054768392842,0.18071138441783377,0.923268102722127,24.80217743936952
4,0,0.15,-0.02,0.3,0.15035069873288093,-0.020050026270768316,0.3004299659190648,0.557102253243079,47.14931051987026
4,1,0.15,-0.02,0.3,0.15036422794717655,-0.019867473194498865,0.29981646983464183,0.4288457453177957,47.029330846783296
4,2,0.15,-0.02,0.3,0.14966489550558212,-0.01920904977349601,0.30021040912535685,0.8844033486024405,47.158244112404994
4,3,0.15,-0.02,0.3,0.14962921578249155,-0.019498220729333427,0.29989033212266547,0.6334748738056498,47.06520085648422
4,4,0.15,-0.02,0.3,0.15062377438919433,-0.02049855642162675,0.2998456424866439,0.8133137377971102,46.8355902519792
4,5,0.15,-0.02,0.3,0.14943524020802734,-0.01941637655389401,0.29962234226097884,0.8956535699232127,46.81900570710494
4,6,0.15,-0.02,0.3,0.15028370460516355,-0.019864478786264746,0.2997306815058415,0.4139888327709965,46.71481949282028
4,7,0.15,-0.02,0.3,0.14984424604291524,-0.01930310813425868,0.3005693889048504,0.9133024102950454,47.01167755731194
4,8,0.15,-0.02,0.3,0.15065999418735285,-0.019498960527051974,0.29982106331473934,0.8477329875165027,46.695346581911224
4,9,0.15,-0.02,0.3,0.149629872485301,-0.019456458836712914,0.30060883868082733,0.8961673463122362,47.110963853433745
